"","date","station","din","station2","month","yday","year"
"1",1969-04-11,"18",NA,"s18",4,101,1969
"2",1969-04-11,"21",NA,"s22",4,101,1969
"3",1969-04-11,"22",NA,"s22",4,101,1969
"4",1969-04-11,"24",NA,"s24",4,101,1969
"5",1969-04-11,"30",NA,"s30",4,101,1969
"6",1969-04-11,"34",NA,"s36",4,101,1969
"7",1969-04-11,"36",NA,"s36",4,101,1969
"8",1969-05-22,"18",NA,"s18",5,142,1969
"9",1969-05-22,"21",NA,"s22",5,142,1969
"10",1969-05-22,"22",NA,"s22",5,142,1969
"11",1969-05-22,"24",NA,"s24",5,142,1969
"12",1969-05-22,"27",NA,"s27",5,142,1969
"13",1969-05-22,"30",NA,"s30",5,142,1969
"14",1969-05-22,"32",NA,"s32",5,142,1969
"15",1969-05-22,"34",NA,"s36",5,142,1969
"16",1969-05-22,"36",NA,"s36",5,142,1969
"17",1969-06-19,"21",NA,"s22",6,170,1969
"18",1969-06-19,"22",NA,"s22",6,170,1969
"19",1969-06-19,"24",NA,"s24",6,170,1969
"20",1969-06-19,"30",NA,"s30",6,170,1969
"21",1969-06-19,"32",NA,"s32",6,170,1969
"22",1969-06-19,"36",NA,"s36",6,170,1969
"23",1969-07-24,"21",NA,"s22",7,205,1969
"24",1969-07-24,"22",NA,"s22",7,205,1969
"25",1969-07-24,"24",NA,"s24",7,205,1969
"26",1969-07-24,"30",NA,"s30",7,205,1969
"27",1969-07-24,"32",NA,"s32",7,205,1969
"28",1969-07-24,"34",NA,"s36",7,205,1969
"29",1969-07-24,"36",NA,"s36",7,205,1969
"30",1969-08-28,"21",NA,"s22",8,240,1969
"31",1969-08-28,"24",NA,"s24",8,240,1969
"32",1969-08-28,"30",NA,"s30",8,240,1969
"33",1969-08-28,"32",NA,"s32",8,240,1969
"34",1969-08-28,"34",NA,"s36",8,240,1969
"35",1969-08-28,"36",NA,"s36",8,240,1969
"36",1969-10-02,"21",NA,"s22",10,275,1969
"37",1969-10-02,"32",NA,"s32",10,275,1969
"38",1969-10-02,"34",NA,"s36",10,275,1969
"39",1969-10-02,"36",NA,"s36",10,275,1969
"40",1969-12-19,"21",NA,"s22",12,353,1969
"41",1969-12-19,"30",NA,"s30",12,353,1969
"42",1969-12-19,"32",NA,"s32",12,353,1969
"43",1969-12-19,"34",NA,"s36",12,353,1969
"44",1969-12-19,"36",NA,"s36",12,353,1969
"45",1970-01-27,"21",NA,"s22",1,27,1970
"46",1970-01-27,"22",NA,"s22",1,27,1970
"47",1970-01-27,"24",NA,"s24",1,27,1970
"48",1970-01-27,"30",NA,"s30",1,27,1970
"49",1970-01-27,"32",NA,"s32",1,27,1970
"50",1970-01-27,"34",NA,"s36",1,27,1970
"51",1970-01-27,"36",NA,"s36",1,27,1970
"52",1970-02-12,"32",NA,"s32",2,43,1970
"53",1970-02-12,"34",NA,"s36",2,43,1970
"54",1970-02-12,"36",NA,"s36",2,43,1970
"55",1970-06-06,"21",NA,"s22",6,157,1970
"56",1970-06-06,"30",NA,"s30",6,157,1970
"57",1970-06-06,"32",NA,"s32",6,157,1970
"58",1970-06-06,"34",NA,"s36",6,157,1970
"59",1970-06-06,"36",NA,"s36",6,157,1970
"60",1970-07-31,"21",NA,"s22",7,212,1970
"61",1970-07-31,"22",NA,"s22",7,212,1970
"62",1970-07-31,"24",NA,"s24",7,212,1970
"63",1970-07-31,"30",NA,"s30",7,212,1970
"64",1970-07-31,"32",NA,"s32",7,212,1970
"65",1970-07-31,"34",NA,"s36",7,212,1970
"66",1970-07-31,"36",NA,"s36",7,212,1970
"67",1970-09-29,"30",NA,"s30",9,272,1970
"68",1970-09-29,"32",NA,"s32",9,272,1970
"69",1970-09-29,"34",NA,"s36",9,272,1970
"70",1970-09-29,"36",NA,"s36",9,272,1970
"71",1970-09-30,"30",NA,"s30",9,273,1970
"72",1970-09-30,"32",NA,"s32",9,273,1970
"73",1970-09-30,"34",NA,"s36",9,273,1970
"74",1970-09-30,"36",NA,"s36",9,273,1970
"75",1970-10-01,"21",NA,"s22",10,274,1970
"76",1970-10-01,"22",NA,"s22",10,274,1970
"77",1970-10-01,"24",NA,"s24",10,274,1970
"78",1970-10-01,"30",NA,"s30",10,274,1970
"79",1970-10-02,"21",NA,"s22",10,275,1970
"80",1970-10-02,"22",NA,"s22",10,275,1970
"81",1970-10-02,"24",NA,"s24",10,275,1970
"82",1970-12-23,"21",NA,"s22",12,357,1970
"83",1970-12-23,"22",NA,"s22",12,357,1970
"84",1970-12-23,"24",NA,"s24",12,357,1970
"85",1970-12-23,"27",NA,"s27",12,357,1970
"86",1970-12-23,"30",NA,"s30",12,357,1970
"87",1970-12-23,"32",NA,"s32",12,357,1970
"88",1970-12-23,"34",NA,"s36",12,357,1970
"89",1970-12-23,"36",NA,"s36",12,357,1970
"90",1971-03-02,"22",NA,"s22",3,61,1971
"91",1971-03-02,"24",NA,"s24",3,61,1971
"92",1971-03-02,"30",NA,"s30",3,61,1971
"93",1971-03-02,"32",NA,"s32",3,61,1971
"94",1971-03-02,"36",NA,"s36",3,61,1971
"95",1971-05-13,"21",NA,"s22",5,133,1971
"96",1971-05-13,"22",NA,"s22",5,133,1971
"97",1971-05-13,"24",NA,"s24",5,133,1971
"98",1971-05-13,"30",NA,"s30",5,133,1971
"99",1971-05-13,"32",NA,"s32",5,133,1971
"100",1971-05-13,"34",NA,"s36",5,133,1971
"101",1971-05-13,"36",NA,"s36",5,133,1971
"102",1971-06-29,"21",NA,"s22",6,180,1971
"103",1971-06-29,"22",NA,"s22",6,180,1971
"104",1971-06-29,"24",NA,"s24",6,180,1971
"105",1971-06-30,"21",NA,"s22",6,181,1971
"106",1971-06-30,"22",NA,"s22",6,181,1971
"107",1971-06-30,"24",NA,"s24",6,181,1971
"108",1971-06-30,"30",NA,"s30",6,181,1971
"109",1971-06-30,"32",NA,"s32",6,181,1971
"110",1971-06-30,"34",NA,"s36",6,181,1971
"111",1971-06-30,"36",NA,"s36",6,181,1971
"112",1971-08-04,"21",NA,"s22",8,216,1971
"113",1971-08-04,"22",NA,"s22",8,216,1971
"114",1971-08-04,"24",NA,"s24",8,216,1971
"115",1971-08-04,"27",NA,"s27",8,216,1971
"116",1971-08-04,"30",NA,"s30",8,216,1971
"117",1971-08-04,"32",NA,"s32",8,216,1971
"118",1971-08-04,"34",NA,"s36",8,216,1971
"119",1971-08-04,"36",NA,"s36",8,216,1971
"120",1971-09-13,"21",NA,"s22",9,256,1971
"121",1971-09-13,"22",NA,"s22",9,256,1971
"122",1971-09-13,"24",NA,"s24",9,256,1971
"123",1971-09-13,"27",NA,"s27",9,256,1971
"124",1971-09-13,"30",NA,"s30",9,256,1971
"125",1971-09-13,"32",NA,"s32",9,256,1971
"126",1971-09-13,"34",NA,"s36",9,256,1971
"127",1971-09-13,"36",NA,"s36",9,256,1971
"128",1971-09-17,"21",NA,"s22",9,260,1971
"129",1971-09-17,"22",NA,"s22",9,260,1971
"130",1971-09-17,"24",NA,"s24",9,260,1971
"131",1971-09-17,"27",NA,"s27",9,260,1971
"132",1971-09-17,"30",NA,"s30",9,260,1971
"133",1971-09-17,"32",NA,"s32",9,260,1971
"134",1971-09-17,"34",NA,"s36",9,260,1971
"135",1971-09-17,"36",NA,"s36",9,260,1971
"136",1971-09-24,"21",NA,"s22",9,267,1971
"137",1971-09-24,"22",NA,"s22",9,267,1971
"138",1971-09-24,"24",NA,"s24",9,267,1971
"139",1971-09-24,"27",NA,"s27",9,267,1971
"140",1971-09-24,"30",NA,"s30",9,267,1971
"141",1971-09-24,"32",NA,"s32",9,267,1971
"142",1971-09-24,"34",NA,"s36",9,267,1971
