"","date","station","do","do_sat","doy","year","month"
"1",1991-01-07,"3",NA,NA,7,1991,1
"2",1991-01-07,"6",NA,NA,7,1991,1
"3",1991-01-07,"9",NA,NA,7,1991,1
"4",1991-01-07,"13",NA,NA,7,1991,1
"5",1991-01-07,"15",NA,NA,7,1991,1
"6",1991-01-07,"649",NA,NA,7,1991,1
"7",1991-01-07,"657",NA,NA,7,1991,1
"8",1991-01-08,"21",NA,NA,8,1991,1
"9",1991-01-08,"22",NA,NA,8,1991,1
"10",1991-01-08,"24",NA,NA,8,1991,1
"11",1991-01-08,"27",NA,NA,8,1991,1
"12",1991-01-08,"30",NA,NA,8,1991,1
"13",1991-01-08,"32",NA,NA,8,1991,1
"14",1991-02-06,"3",NA,NA,37,1991,2
"15",1991-02-06,"6",NA,NA,37,1991,2
"16",1991-02-06,"9",NA,NA,37,1991,2
"17",1991-02-06,"13",NA,NA,37,1991,2
"18",1991-02-06,"15",NA,NA,37,1991,2
"19",1991-02-06,"18",NA,NA,37,1991,2
"20",1991-02-06,"21",NA,NA,37,1991,2
"21",1991-02-06,"22",NA,NA,37,1991,2
"22",1991-02-06,"24",NA,NA,37,1991,2
"23",1991-02-06,"27",NA,NA,37,1991,2
"24",1991-02-06,"30",NA,NA,37,1991,2
"25",1991-02-06,"32",NA,NA,37,1991,2
"26",1991-02-06,"649",NA,NA,37,1991,2
"27",1991-02-06,"657",NA,NA,37,1991,2
"28",1991-02-12,"30",NA,NA,43,1991,2
"29",1991-02-12,"32",NA,NA,43,1991,2
"30",1991-02-12,"34",NA,NA,43,1991,2
"31",1991-03-05,"21",NA,NA,64,1991,3
"32",1991-03-05,"22",NA,NA,64,1991,3
"33",1991-03-05,"24",NA,NA,64,1991,3
"34",1991-03-05,"27",NA,NA,64,1991,3
"35",1991-03-05,"30",NA,NA,64,1991,3
"36",1991-03-05,"32",NA,NA,64,1991,3
"37",1991-03-11,"3",NA,NA,70,1991,3
"38",1991-03-11,"6",NA,NA,70,1991,3
"39",1991-03-11,"9",NA,NA,70,1991,3
"40",1991-03-11,"13",NA,NA,70,1991,3
"41",1991-03-11,"15",NA,NA,70,1991,3
"42",1991-03-11,"18",NA,NA,70,1991,3
"43",1991-03-11,"21",NA,NA,70,1991,3
"44",1991-03-11,"22",NA,NA,70,1991,3
"45",1991-03-11,"24",NA,NA,70,1991,3
"46",1991-03-11,"27",NA,NA,70,1991,3
"47",1991-03-11,"30",NA,NA,70,1991,3
"48",1991-03-11,"32",NA,NA,70,1991,3
"49",1991-03-11,"649",NA,NA,70,1991,3
"50",1991-03-11,"657",NA,NA,70,1991,3
"51",1991-03-19,"21",NA,NA,78,1991,3
"52",1991-03-19,"22",NA,NA,78,1991,3
"53",1991-03-19,"24",NA,NA,78,1991,3
"54",1991-03-19,"27",NA,NA,78,1991,3
"55",1991-03-19,"30",NA,NA,78,1991,3
"56",1991-03-19,"32",NA,NA,78,1991,3
"57",1991-03-26,"30",NA,NA,85,1991,3
"58",1991-03-26,"32",NA,NA,85,1991,3
"59",1991-04-01,"21",NA,NA,91,1991,4
"60",1991-04-01,"22",NA,NA,91,1991,4
"61",1991-04-01,"24",NA,NA,91,1991,4
"62",1991-04-01,"27",NA,NA,91,1991,4
"63",1991-04-01,"30",NA,NA,91,1991,4
"64",1991-04-01,"32",NA,NA,91,1991,4
"65",1991-04-05,"21",NA,NA,95,1991,4
"66",1991-04-05,"22",NA,NA,95,1991,4
"67",1991-04-05,"24",NA,NA,95,1991,4
"68",1991-04-05,"27",NA,NA,95,1991,4
"69",1991-04-05,"30",NA,NA,95,1991,4
"70",1991-04-05,"32",NA,NA,95,1991,4
"71",1991-04-08,"24",NA,NA,98,1991,4
"72",1991-04-08,"27",NA,NA,98,1991,4
"73",1991-04-08,"36",NA,NA,98,1991,4
"74",1991-04-11,"3",NA,NA,101,1991,4
"75",1991-04-11,"6",NA,NA,101,1991,4
"76",1991-04-11,"9",NA,NA,101,1991,4
"77",1991-04-11,"13",NA,NA,101,1991,4
"78",1991-04-11,"15",NA,NA,101,1991,4
"79",1991-04-11,"18",NA,NA,101,1991,4
"80",1991-04-11,"21",NA,NA,101,1991,4
"81",1991-04-11,"22",NA,NA,101,1991,4
"82",1991-04-11,"24",NA,NA,101,1991,4
