"","date","station","param","value","doy","cont_year","yr","mo"
"1",2006-01-10,18,"DIN",28.88,10,2006.02739726027,2006,1
"2",2006-01-10,22,"DIN",30.92,10,2006.02739726027,2006,1
"3",2006-01-10,24,"DIN",30.86,10,2006.02739726027,2006,1
"4",2006-01-10,27,"DIN",34.86,10,2006.02739726027,2006,1
"5",2006-01-10,30,"DIN",51.92,10,2006.02739726027,2006,1
"6",2006-01-10,32,"DIN",39.56,10,2006.02739726027,2006,1
"7",2006-02-14,18,"DIN",18.4,45,2006.12328767123,2006,2
"8",2006-02-14,22,"DIN",18.57,45,2006.12328767123,2006,2
"9",2006-02-14,24,"DIN",22.61,45,2006.12328767123,2006,2
"10",2006-02-14,27,"DIN",14.96,45,2006.12328767123,2006,2
"11",2006-02-14,30,"DIN",12.54,45,2006.12328767123,2006,2
"12",2006-02-14,32,"DIN",31.28,45,2006.12328767123,2006,2
"13",2006-02-14,36,"DIN",99.33,45,2006.12328767123,2006,2
"14",2006-02-21,22,"DIN",13.76,52,2006.14246575342,2006,2
"15",2006-02-21,24,"DIN",13.43,52,2006.14246575342,2006,2
"16",2006-02-21,27,"DIN",8.87,52,2006.14246575342,2006,2
"17",2006-02-21,30,"DIN",6.61,52,2006.14246575342,2006,2
"18",2006-02-21,32,"DIN",9.84,52,2006.14246575342,2006,2
"19",2006-02-21,36,"DIN",49.03,52,2006.14246575342,2006,2
"20",2006-03-07,22,"DIN",23.31,66,2006.18082191781,2006,3
"21",2006-03-07,24,"DIN",22.76,66,2006.18082191781,2006,3
"22",2006-03-07,27,"DIN",17.51,66,2006.18082191781,2006,3
"23",2006-03-07,30,"DIN",26.45,66,2006.18082191781,2006,3
"24",2006-03-07,32,"DIN",46.04,66,2006.18082191781,2006,3
"25",2006-03-07,36,"DIN",40.49,66,2006.18082191781,2006,3
"26",2006-03-15,18,"DIN",17.13,74,2006.20273972603,2006,3
"27",2006-03-15,22,"DIN",20.53,74,2006.20273972603,2006,3
"28",2006-03-15,24,"DIN",21.83,74,2006.20273972603,2006,3
"29",2006-03-15,27,"DIN",22.73,74,2006.20273972603,2006,3
"30",2006-03-15,30,"DIN",28.22,74,2006.20273972603,2006,3
"31",2006-03-15,32,"DIN",63.86,74,2006.20273972603,2006,3
"32",2006-03-15,36,"DIN",146.08,74,2006.20273972603,2006,3
"33",2006-03-21,22,"DIN",20.9,80,2006.21917808219,2006,3
"34",2006-03-21,24,"DIN",22.24,80,2006.21917808219,2006,3
"35",2006-03-21,27,"DIN",22.43,80,2006.21917808219,2006,3
"36",2006-03-21,30,"DIN",48.83,80,2006.21917808219,2006,3
"37",2006-03-21,32,"DIN",79,80,2006.21917808219,2006,3
"38",2006-03-21,36,"DIN",119.32,80,2006.21917808219,2006,3
"39",2006-04-05,22,"DIN",9.65,95,2006.2602739726,2006,4
"40",2006-04-05,24,"DIN",13.45,95,2006.2602739726,2006,4
"41",2006-04-05,27,"DIN",5.79,95,2006.2602739726,2006,4
"42",2006-04-05,30,"DIN",18.08,95,2006.2602739726,2006,4
"43",2006-04-05,32,"DIN",41.68,95,2006.2602739726,2006,4
"44",2006-04-05,36,"DIN",45.07,95,2006.2602739726,2006,4
"45",2006-04-11,24,"DIN",4.9,101,2006.27671232877,2006,4
"46",2006-04-11,27,"DIN",0.24,101,2006.27671232877,2006,4
"47",2006-04-11,30,"DIN",11.68,101,2006.27671232877,2006,4
"48",2006-04-11,32,"DIN",41.73,101,2006.27671232877,2006,4
"49",2006-04-21,22,"DIN",7.26,111,2006.30410958904,2006,4
"50",2006-04-21,24,"DIN",10.09,111,2006.30410958904,2006,4
"51",2006-04-21,27,"DIN",10.66,111,2006.30410958904,2006,4
"52",2006-04-21,30,"DIN",9.16,111,2006.30410958904,2006,4
"53",2006-04-21,32,"DIN",20.51,111,2006.30410958904,2006,4
"54",2006-04-21,36,"DIN",49.46,111,2006.30410958904,2006,4
"55",2006-05-09,18,"DIN",10.7,129,2006.35342465753,2006,5
"56",2006-05-09,22,"DIN",12.46,129,2006.35342465753,2006,5
"57",2006-05-09,24,"DIN",0.24,129,2006.35342465753,2006,5
"58",2006-05-09,27,"DIN",0.2,129,2006.35342465753,2006,5
