"","date","station","din","station2","month","yday","year"
"1",1969-04-10,"6",NA,"s6",4,100,1969
"2",1969-04-11,"6",NA,"s6",4,101,1969
"3",1969-04-11,"9",NA,"s9",4,101,1969
"4",1969-04-11,"13",NA,"s13",4,101,1969
"5",1969-04-11,"15",NA,"s15",4,101,1969
"6",1969-04-11,"18",NA,"s18",4,101,1969
"7",1969-04-11,"21",NA,"s22",4,101,1969
"8",1969-04-11,"22",NA,"s22",4,101,1969
"9",1969-04-11,"24",NA,"s24",4,101,1969
"10",1969-04-11,"30",NA,"s30",4,101,1969
"11",1969-04-11,"34",NA,"s36",4,101,1969
"12",1969-04-11,"36",NA,"s36",4,101,1969
"13",1969-05-22,"6",NA,"s6",5,142,1969
"14",1969-05-22,"9",NA,"s9",5,142,1969
"15",1969-05-22,"13",NA,"s13",5,142,1969
"16",1969-05-22,"15",NA,"s15",5,142,1969
"17",1969-05-22,"18",NA,"s18",5,142,1969
"18",1969-05-22,"21",NA,"s22",5,142,1969
"19",1969-05-22,"22",NA,"s22",5,142,1969
"20",1969-05-22,"24",NA,"s24",5,142,1969
"21",1969-05-22,"27",NA,"s27",5,142,1969
"22",1969-05-22,"30",NA,"s30",5,142,1969
"23",1969-05-22,"32",NA,"s32",5,142,1969
"24",1969-05-22,"34",NA,"s36",5,142,1969
"25",1969-05-22,"36",NA,"s36",5,142,1969
"26",1969-06-19,"6",NA,"s6",6,170,1969
"27",1969-06-19,"9",NA,"s9",6,170,1969
"28",1969-06-19,"13",NA,"s13",6,170,1969
"29",1969-06-19,"15",NA,"s15",6,170,1969
"30",1969-06-19,"21",NA,"s22",6,170,1969
"31",1969-06-19,"22",NA,"s22",6,170,1969
"32",1969-06-19,"24",NA,"s24",6,170,1969
"33",1969-06-19,"30",NA,"s30",6,170,1969
"34",1969-06-19,"32",NA,"s32",6,170,1969
"35",1969-06-19,"36",NA,"s36",6,170,1969
"36",1969-07-24,"6",NA,"s6",7,205,1969
"37",1969-07-24,"9",NA,"s9",7,205,1969
"38",1969-07-24,"13",NA,"s13",7,205,1969
"39",1969-07-24,"15",NA,"s15",7,205,1969
"40",1969-07-24,"21",NA,"s22",7,205,1969
"41",1969-07-24,"22",NA,"s22",7,205,1969
"42",1969-07-24,"24",NA,"s24",7,205,1969
"43",1969-07-24,"30",NA,"s30",7,205,1969
"44",1969-07-24,"32",NA,"s32",7,205,1969
"45",1969-07-24,"34",NA,"s36",7,205,1969
"46",1969-07-24,"36",NA,"s36",7,205,1969
"47",1969-08-28,"3",NA,"s3",8,240,1969
"48",1969-08-28,"6",NA,"s6",8,240,1969
"49",1969-08-28,"9",NA,"s9",8,240,1969
"50",1969-08-28,"13",NA,"s13",8,240,1969
"51",1969-08-28,"15",NA,"s15",8,240,1969
"52",1969-08-28,"21",NA,"s22",8,240,1969
"53",1969-08-28,"24",NA,"s24",8,240,1969
"54",1969-08-28,"30",NA,"s30",8,240,1969
"55",1969-08-28,"32",NA,"s32",8,240,1969
"56",1969-08-28,"34",NA,"s36",8,240,1969
"57",1969-08-28,"36",NA,"s36",8,240,1969
"58",1969-10-02,"3",NA,"s3",10,275,1969
"59",1969-10-02,"6",NA,"s6",10,275,1969
"60",1969-10-02,"9",NA,"s9",10,275,1969
"61",1969-10-02,"13",NA,"s13",10,275,1969
"62",1969-10-02,"15",NA,"s15",10,275,1969
"63",1969-10-02,"21",NA,"s22",10,275,1969
"64",1969-10-02,"32",NA,"s32",10,275,1969
"65",1969-10-02,"34",NA,"s36",10,275,1969
"66",1969-10-02,"36",NA,"s36",10,275,1969
"67",1969-12-19,"3",NA,"s3",12,353,1969
"68",1969-12-19,"6",NA,"s6",12,353,1969
"69",1969-12-19,"9",NA,"s9",12,353,1969
"70",1969-12-19,"13",NA,"s13",12,353,1969
"71",1969-12-19,"15",NA,"s15",12,353,1969
"72",1969-12-19,"21",NA,"s22",12,353,1969
"73",1969-12-19,"30",NA,"s30",12,353,1969
"74",1969-12-19,"32",NA,"s32",12,353,1969
"75",1969-12-19,"34",NA,"s36",12,353,1969
"76",1969-12-19,"36",NA,"s36",12,353,1969
"77",1970-01-27,"13",NA,"s13",1,27,1970
"78",1970-01-27,"15",NA,"s15",1,27,1970
"79",1970-01-27,"21",NA,"s22",1,27,1970
"80",1970-01-27,"22",NA,"s22",1,27,1970
"81",1970-01-27,"24",NA,"s24",1,27,1970
"82",1970-01-27,"30",NA,"s30",1,27,1970
"83",1970-01-27,"32",NA,"s32",1,27,1970
"84",1970-01-27,"34",NA,"s36",1,27,1970
"85",1970-01-27,"36",NA,"s36",1,27,1970
"86",1970-02-12,"9",NA,"s9",2,43,1970
"87",1970-02-12,"13",NA,"s13",2,43,1970
"88",1970-02-12,"15",NA,"s15",2,43,1970
"89",1970-02-12,"32",NA,"s32",2,43,1970
"90",1970-02-12,"34",NA,"s36",2,43,1970
"91",1970-02-12,"36",NA,"s36",2,43,1970
"92",1970-06-06,"6",NA,"s6",6,157,1970
"93",1970-06-06,"9",NA,"s9",6,157,1970
"94",1970-06-06,"13",NA,"s13",6,157,1970
"95",1970-06-06,"15",NA,"s15",6,157,1970
"96",1970-06-06,"21",NA,"s22",6,157,1970
"97",1970-06-06,"30",NA,"s30",6,157,1970
"98",1970-06-06,"32",NA,"s32",6,157,1970
"99",1970-06-06,"34",NA,"s36",6,157,1970
"100",1970-06-06,"36",NA,"s36",6,157,1970
"101",1970-07-31,"3",NA,"s3",7,212,1970
"102",1970-07-31,"6",NA,"s6",7,212,1970
"103",1970-07-31,"9",NA,"s9",7,212,1970
"104",1970-07-31,"13",NA,"s13",7,212,1970
"105",1970-07-31,"15",NA,"s15",7,212,1970
"106",1970-07-31,"21",NA,"s22",7,212,1970
"107",1970-07-31,"22",NA,"s22",7,212,1970
"108",1970-07-31,"24",NA,"s24",7,212,1970
"109",1970-07-31,"30",NA,"s30",7,212,1970
"110",1970-07-31,"32",NA,"s32",7,212,1970
"111",1970-07-31,"34",NA,"s36",7,212,1970
"112",1970-07-31,"36",NA,"s36",7,212,1970
"113",1970-09-29,"30",NA,"s30",9,272,1970
"114",1970-09-29,"32",NA,"s32",9,272,1970
"115",1970-09-29,"34",NA,"s36",9,272,1970
"116",1970-09-29,"36",NA,"s36",9,272,1970
"117",1970-09-30,"30",NA,"s30",9,273,1970
"118",1970-09-30,"32",NA,"s32",9,273,1970
"119",1970-09-30,"34",NA,"s36",9,273,1970
"120",1970-09-30,"36",NA,"s36",9,273,1970
"121",1970-10-01,"6",NA,"s6",10,274,1970
"122",1970-10-01,"9",NA,"s9",10,274,1970
"123",1970-10-01,"13",NA,"s13",10,274,1970
"124",1970-10-01,"15",NA,"s15",10,274,1970
"125",1970-10-01,"21",NA,"s22",10,274,1970
"126",1970-10-01,"22",NA,"s22",10,274,1970
"127",1970-10-01,"24",NA,"s24",10,274,1970
"128",1970-10-01,"30",NA,"s30",10,274,1970
"129",1970-10-02,"3",NA,"s3",10,275,1970
"130",1970-10-02,"6",NA,"s6",10,275,1970
"131",1970-10-02,"9",NA,"s9",10,275,1970
"132",1970-10-02,"13",NA,"s13",10,275,1970
"133",1970-10-02,"15",NA,"s15",10,275,1970
"134",1970-10-02,"21",NA,"s22",10,275,1970
"135",1970-10-02,"22",NA,"s22",10,275,1970
"136",1970-10-02,"24",NA,"s24",10,275,1970
"137",1970-12-23,"6",NA,"s6",12,357,1970
"138",1970-12-23,"9",NA,"s9",12,357,1970
"139",1970-12-23,"13",NA,"s13",12,357,1970
"140",1970-12-23,"15",NA,"s15",12,357,1970
"141",1970-12-23,"21",NA,"s22",12,357,1970
"142",1970-12-23,"22",NA,"s22",12,357,1970
"143",1970-12-23,"24",NA,"s24",12,357,1970
"144",1970-12-23,"27",NA,"s27",12,357,1970
"145",1970-12-23,"30",NA,"s30",12,357,1970
"146",1970-12-23,"32",NA,"s32",12,357,1970
"147",1970-12-23,"34",NA,"s36",12,357,1970
"148",1970-12-23,"36",NA,"s36",12,357,1970
