"","year","month","station","dchl","cchl","ddo","do","dspm","cspm","ext","sal","tem","no2","no32","nh","po4","dSi","chl_merge","spm_merge","do_merge","ext_calc_linear","ext_calc_log","ext_merge","light","GPP"
"1",1969,"April","6",NA,NA,NA,NA,28,NA,NA,0.15,13.825,0.7,NA,NA,NA,232,NA,28,NA,1.8844,2.0588235844283,2.0588235844283,45,NA
"2",1969,"April","9",NA,NA,NA,NA,73,NA,NA,0.7,14.3,NA,NA,NA,NA,NA,NA,73,NA,3.5404,3.70448784913954,3.70448784913954,45,NA
"3",1969,"April","13",NA,NA,NA,NA,41,NA,NA,7.8,14.25,0.7,NA,NA,1.6,150,NA,41,NA,2.3628,2.60104439903626,2.60104439903626,45,NA
"4",1969,"April","15",NA,NA,NA,NA,NA,NA,NA,5.75,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"5",1969,"April","18",NA,NA,NA,NA,7,NA,NA,11,14.2,0.7,NA,NA,1.3,110,NA,7,NA,1.1116,0.880149324290776,0.880149324290776,45,NA
"6",1969,"April","21",NA,NA,NA,NA,NA,NA,NA,12.4,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"7",1969,"April","22",NA,NA,NA,NA,NA,NA,NA,18.5,14.55,0.7,NA,NA,1.3,120,NA,NA,NA,NA,NA,NA,45,NA
"8",1969,"April","24",NA,NA,NA,NA,NA,NA,NA,18.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"9",1969,"April","30",NA,NA,NA,NA,NA,NA,NA,17.65,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"10",1969,"April","34",NA,NA,NA,NA,NA,NA,NA,15.5,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"11",1969,"April","36",NA,NA,NA,NA,NA,NA,NA,14.5,15.3,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,45,NA
"12",1969,"May","6",NA,NA,NA,NA,28,NA,NA,0,18.2333333333333,0.7,NA,NA,3.2,233,NA,28,NA,1.8844,2.0588235844283,2.0588235844283,50,NA
"13",1969,"May","9",NA,NA,NA,NA,NA,NA,NA,1.1,18.15,1.1,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,50,NA
"14",1969,"May","13",NA,NA,NA,NA,41,NA,NA,5.23333333333333,17.6333333333333,0.7,NA,NA,3.2,216,NA,41,NA,2.3628,2.60104439903626,2.60104439903626,50,NA
"15",1969,"May","15",NA,NA,NA,NA,NA,NA,NA,6.06666666666667,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"16",1969,"May","18",NA,NA,NA,NA,7,NA,NA,19.7333333333333,14.5666666666667,1.1,NA,NA,3.2,110,NA,7,NA,1.1116,0.880149324290776,0.880149324290776,50,NA
"17",1969,"May","21",NA,NA,NA,NA,NA,NA,NA,18.0666666666667,15.0333333333333,1.1,NA,NA,3.2,120,NA,NA,NA,NA,NA,NA,50,NA
"18",1969,"May","22",NA,NA,NA,NA,NA,NA,NA,14.7,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"19",1969,"May","24",NA,NA,NA,NA,NA,NA,NA,18.2666666666667,16.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"20",1969,"May","27",NA,NA,NA,NA,NA,NA,NA,19.9,17.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"21",1969,"May","30",NA,NA,NA,NA,NA,NA,NA,19.5333333333333,18.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"22",1969,"May","32",NA,NA,NA,NA,39,NA,NA,19.3666666666667,18.8666666666667,4.6,NA,NA,9.7,45,NA,39,NA,2.2892,2.52251562756643,2.52251562756643,50,NA
"23",1969,"May","34",NA,NA,NA,NA,88,NA,NA,19,18.9666666666667,6.4,NA,NA,13,38,NA,88,NA,4.0924,4.1541209713896,4.1541209713896,50,NA
"24",1969,"May","36",NA,NA,NA,NA,115,NA,NA,18.2,19.0333333333333,14,NA,NA,22,35,NA,115,NA,5.086,4.89462064300934,4.89462064300934,50,NA
"25",1969,"June","6",NA,NA,NA,NA,15,NA,NA,0.1,19.6,0.3,NA,NA,1,200,NA,15,NA,1.406,1.40428482620167,1.40428482620167,53,NA
"26",1969,"June","9",NA,NA,NA,NA,35,NA,NA,4,18.45,NA,NA,NA,2.2,175,NA,35,NA,2.142,2.36061396794355,2.36061396794355,53,NA
"27",1969,"June","13",NA,NA,NA,NA,23,NA,NA,8.05,17.75,NA,NA,NA,2.6,130,NA,23,NA,1.7004,1.82494770856468,1.82494770856468,53,NA
"28",1969,"June","15",NA,NA,NA,NA,NA,NA,NA,6.9,18.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"29",1969,"June","21",NA,NA,NA,NA,7,NA,NA,16.25,16.35,0.7,NA,NA,2.2,80,NA,7,NA,1.1116,0.880149324290776,0.880149324290776,53,NA
"30",1969,"June","22",NA,NA,NA,NA,NA,NA,NA,17.9,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"31",1969,"June","24",NA,NA,NA,NA,5,NA,NA,20.1,16.75,0.7,NA,NA,2.9,56,NA,5,NA,1.038,0.716110223624623,0.716110223624623,53,NA
"32",1969,"June","30",NA,NA,NA,NA,NA,NA,NA,19.65,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"33",1969,"June","32",NA,NA,NA,NA,9,NA,NA,19.35,20.55,4.3,NA,NA,12.9,73,NA,9,NA,1.1852,1.02674339952874,1.02674339952874,53,NA
"34",1969,"June","36",NA,NA,NA,NA,16,NA,NA,18.6,21,25,NA,NA,29,120,NA,16,NA,1.4428,1.46095490456786,1.46095490456786,53,NA
"35",1969,"July","6",NA,NA,NA,NA,NA,NA,NA,1.3,21.5,0.01,NA,NA,1.5,158,NA,NA,NA,NA,NA,NA,53,NA
"36",1969,"July","9",NA,NA,NA,NA,NA,NA,NA,7.56666666666667,20,1,NA,NA,1.5,88,NA,NA,NA,NA,NA,NA,53,NA
"37",1969,"July","13",NA,NA,NA,NA,NA,NA,NA,18.6333333333333,18.8666666666667,1,NA,NA,1.5,17,NA,NA,NA,NA,NA,NA,53,NA
"38",1969,"July","15",NA,NA,NA,NA,NA,NA,NA,20.9666666666667,18.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"39",1969,"July","21",NA,NA,NA,NA,NA,NA,NA,26,16.9333333333333,0.5,NA,NA,3.2,38,NA,NA,NA,NA,NA,NA,53,NA
"40",1969,"July","22",NA,NA,NA,NA,NA,NA,NA,25.3,17.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"41",1969,"July","24",NA,NA,NA,NA,NA,NA,NA,24.8333333333333,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"42",1969,"July","30",NA,NA,NA,NA,NA,NA,NA,21.9333333333333,22.9333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"43",1969,"July","32",NA,NA,NA,NA,NA,NA,NA,21.6,23.2333333333333,3,NA,NA,17,120,NA,NA,NA,NA,NA,NA,53,NA
"44",1969,"July","34",NA,NA,NA,NA,NA,NA,NA,21.4,23.2,4,NA,NA,19,111,NA,NA,NA,NA,NA,NA,53,NA
"45",1969,"July","36",NA,NA,NA,NA,NA,NA,NA,20.5666666666667,23.5333333333333,7,NA,NA,27,135,NA,NA,NA,NA,NA,NA,53,NA
