date,station,dchl,cchl,ddo,do,dspm,cspm,ext,sal,tem,no2,no32,nh,po4,dSi,chl_merge,spm_merge,do_merge,din
1969-04-10,6,NA,NA,NA,NA,NA,NA,NA,0.1,13.7,0.7,NA,NA,NA,232,NA,NA,NA,NA
1969-04-11,6,NA,NA,NA,NA,28,NA,NA,0.2,13.95,0.7,NA,NA,NA,232,NA,28,NA,NA
1969-04-11,9,NA,NA,NA,NA,73,NA,NA,0.7,14.3,NA,NA,NA,NA,NA,NA,73,NA,NA
1969-04-11,13,NA,NA,NA,NA,41,NA,NA,7.8,14.25,0.7,NA,NA,1.6,150,NA,41,NA,NA
1969-04-11,15,NA,NA,NA,NA,NA,NA,NA,5.75,14.899999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,18,NA,NA,NA,NA,7,NA,NA,11,14.2,0.7,NA,NA,1.3,110,NA,7,NA,NA
1969-04-11,21,NA,NA,NA,NA,NA,NA,NA,12.4,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,22,NA,NA,NA,NA,NA,NA,NA,18.5,14.55,0.7,NA,NA,1.3,120,NA,NA,NA,NA
1969-04-11,24,NA,NA,NA,NA,NA,NA,NA,18.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,30,NA,NA,NA,NA,NA,NA,NA,17.65,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,34,NA,NA,NA,NA,NA,NA,NA,15.5,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,36,NA,NA,NA,NA,NA,NA,NA,14.5,15.3,NA,NA,NA,5.2,NA,NA,NA,NA,NA
1969-05-22,6,NA,NA,NA,NA,28,NA,NA,0,18.233333333333334,0.7,NA,NA,3.2,233,NA,28,NA,NA
1969-05-22,9,NA,NA,NA,NA,NA,NA,NA,1.1,18.15,1.1,NA,NA,1.6,NA,NA,NA,NA,NA
1969-05-22,13,NA,NA,NA,NA,41,NA,NA,5.233333333333333,17.633333333333333,0.7,NA,NA,3.2,216,NA,41,NA,NA
1969-05-22,15,NA,NA,NA,NA,NA,NA,NA,6.066666666666666,17.400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-05-22,18,NA,NA,NA,NA,7,NA,NA,19.733333333333334,14.566666666666666,1.1,NA,NA,3.2,110,NA,7,NA,NA
1969-05-22,21,NA,NA,NA,NA,NA,NA,NA,18.066666666666666,15.033333333333333,1.1,NA,NA,3.2,120,NA,NA,NA,NA
