"month","year","station","dchl","cchl","dspm","cspm","ext","cext","sal","tem","chl_merge","spm_merge","ext_merge","dec_date","ext_merge2","ext_merge_calc","ext_merge_calc_log","light","GPP","doy"
"February",1990,"18",1.1,1,NA,NA,2.1,NA,28.8266666666667,10.8066666666667,1.03333333333333,NA,2.1,1990.16666666667,2.1,NA,NA,20,37.1212698412698,60.8333333333333
"April",1990,"18",NA,1.63333333333333,NA,NA,0.8,NA,29.75,14.99,1.63333333333333,NA,0.8,1990.33333333333,0.8,NA,NA,45,346.5525,121.666666666667
"May",1990,"18",NA,1.6,NA,NA,1.2,NA,31.53,14.64,1.6,NA,1.2,1990.41666666667,1.2,NA,NA,50,251.466666666667,152.083333333333
"July",1990,"18",5.1,5.3,NA,NA,1,NA,30.71,17.4766666666667,5.23333333333333,NA,1,1990.58333333333,1,NA,NA,53,1046.22706666667,212.916666666667
"December",1990,"18",1.2,0.8,NA,NA,1.2,NA,31.1733333333333,11.1433333333333,0.933333333333333,NA,1.2,1991,1.2,NA,NA,15,44.0066666666667,365
"February",1991,"18",1.9,1.5,NA,NA,1.8,NA,29.8733333333333,10.9233333333333,1.63333333333333,NA,1.8,1991.16666666667,1.8,NA,NA,20,68.4548148148148,60.8333333333333
"March",1991,"18",1.2,0.9,NA,NA,0.6,NA,29.3666666666667,12.34,1,NA,0.6,1991.25,0.6,NA,NA,35,220.033333333333,91.25
"April",1991,"18",3.8,2.83333333333333,NA,NA,1.1,NA,30.3333333333333,11.0733333333333,3.16666666666667,NA,1.1,1991.33333333333,1.1,NA,NA,45,488.645454545454,121.666666666667
"June",1991,"18",NA,3.73333333333333,NA,NA,1,NA,30.3033333333333,14.83,3.73333333333333,NA,1,1991.5,1,NA,NA,53,746.353066666667,182.5
"August",1991,"18",1.5,1.6,NA,NA,1.4,NA,31.8733333333333,16.84,1.56666666666667,NA,1.4,1991.66666666667,1.4,NA,NA,48,202.610285714286,243.333333333333
"September",1991,"18",NA,1.33333333333333,NA,NA,0.6,NA,31.9233333333333,16.2633333333333,1.33333333333333,NA,0.6,1991.75,0.6,NA,NA,38,318.524444444444,273.75
"November",1991,"18",1.6,1.33333333333333,NA,NA,1.1,NA,32.4766666666667,12.4133333333333,1.43333333333333,NA,1.1,1991.91666666667,1.1,NA,NA,20,98.300606060606,334.583333333333
"December",1991,"18",1.6,1.73333333333333,NA,NA,1,NA,31.1166666666667,11.0333333333333,1.7,NA,1,1992,1,NA,NA,15,96.186,365
"January",1992,"18",2.3,1.1,NA,NA,0.9,NA,31.17,10.9666666666667,1.5,NA,0.9,1992.08333333333,0.9,NA,NA,15,94.3,30.4166666666667
"February",1992,"18",1.6,1.38333333333333,NA,NA,1.3,NA,30.0516666666667,11.6533333333333,1.46666666666667,NA,1.3,1992.16666666667,1.3,NA,NA,20,85.1117948717949,60.8333333333333
"March",1992,"18",2.2,1.73333333333333,NA,NA,1,NA,29.73,13.8066666666667,1.86666666666667,NA,1,1992.25,1,NA,NA,35,246.437333333333,91.25
"April",1992,"18",3.8,3.23333333333333,NA,NA,2.4,NA,28.5966666666667,15.01,3.43333333333333,NA,2.4,1992.33333333333,2.4,NA,NA,45,242.8225,121.666666666667
"May",1992,"18",10.7,8.1,NA,NA,0.6,NA,31.75,15.6,8.96666666666667,NA,0.6,1992.41666666667,0.6,NA,NA,50,2818.52222222222,152.083333333333
"June",1992,"18",4.3,3.23333333333333,NA,NA,1,NA,31.0533333333333,17.4333333333333,3.66666666666667,NA,1,1992.5,1,NA,NA,53,733.025333333333,182.5
