"date","station","param","value"
1969-04-11,18,"S",11
1969-04-11,18,"T",14.2
1969-04-11,18,"P",1.3
1969-04-11,18,"SI",110
1969-04-11,21,"S",12.4
1969-04-11,21,"T",14.5
1969-04-11,22,"S",18.5
1969-04-11,22,"T",14.55
1969-04-11,22,"P",1.3
1969-04-11,22,"SI",120
1969-04-11,24,"S",18.4
1969-04-11,24,"T",14.3
1969-04-11,30,"S",17.65
1969-04-11,30,"T",14.8
1969-04-11,34,"S",15.5
1969-04-11,34,"T",15.6
1969-04-11,36,"S",14.5
1969-04-11,36,"T",15.3
1969-04-11,36,"P",5.2
1969-05-22,18,"S",19.45
1969-05-22,18,"T",14.7
1969-05-22,18,"P",3.2
1969-05-22,18,"SI",110
1969-05-22,21,"S",17.3
1969-05-22,21,"T",15.25
1969-05-22,21,"P",3.2
1969-05-22,21,"SI",120
1969-05-22,22,"S",14.15
1969-05-22,22,"T",16.25
1969-05-22,24,"S",17.65
1969-05-22,24,"T",16.35
1969-05-22,27,"S",19.9
1969-05-22,27,"T",17.7
1969-05-22,30,"S",19.55
1969-05-22,30,"T",18.4
1969-05-22,32,"S",19.4
1969-05-22,32,"T",18.85
1969-05-22,32,"P",9.7
1969-05-22,32,"SI",45
1969-05-22,34,"S",19
1969-05-22,34,"T",19
1969-05-22,34,"P",13
1969-05-22,34,"SI",38
1969-05-22,36,"S",18.2
1969-05-22,36,"T",19.1
1969-05-22,36,"P",22
1969-05-22,36,"SI",35
1969-06-19,21,"S",16.25
1969-06-19,21,"T",16.35
1969-06-19,21,"P",2.2
1969-06-19,21,"SI",80
1969-06-19,22,"S",17.9
1969-06-19,22,"T",16.2
1969-06-19,24,"S",20.1
1969-06-19,24,"T",16.75
1969-06-19,24,"P",2.9
1969-06-19,24,"SI",56
1969-06-19,30,"S",19.65
1969-06-19,30,"T",19.7
1969-06-19,32,"S",19.35
1969-06-19,32,"T",20.55
1969-06-19,32,"P",12.9
1969-06-19,32,"SI",73
1969-06-19,36,"S",18.6
1969-06-19,36,"T",21
1969-06-19,36,"P",29
1969-06-19,36,"SI",120
1969-07-24,21,"S",26.15
1969-07-24,21,"T",16.9
1969-07-24,21,"P",3.2
1969-07-24,21,"SI",38
1969-07-24,22,"S",25.3
1969-07-24,22,"T",17.55
1969-07-24,24,"S",24.85
1969-07-24,24,"T",19.1
1969-07-24,30,"S",21.95
1969-07-24,30,"T",22.85
1969-07-24,32,"S",21.6
1969-07-24,32,"T",23.3
1969-07-24,32,"P",17
1969-07-24,32,"SI",120
1969-07-24,34,"S",21.4
1969-07-24,34,"T",23.25
1969-07-24,34,"P",19
1969-07-24,34,"SI",111
1969-07-24,36,"S",20.5
1969-07-24,36,"T",23.55
1969-07-24,36,"P",27
1969-07-24,36,"SI",135
1969-08-28,21,"S",29.9
1969-08-28,21,"T",15.8
1969-08-28,21,"P",3
1969-08-28,21,"SI",30
1969-08-28,24,"S",30
1969-08-28,24,"T",17.15
1969-08-28,24,"P",3
1969-08-28,24,"SI",27
1969-08-28,30,"S",26.45
1969-08-28,30,"T",20.7
1969-08-28,32,"S",26.1
1969-08-28,32,"T",21.6
1969-08-28,32,"P",18.7
1969-08-28,34,"S",24.6
1969-08-28,34,"T",22.1
1969-08-28,34,"P",24.2
1969-08-28,34,"SI",133
1969-08-28,36,"S",23.75
1969-08-28,36,"T",21.9
1969-08-28,36,"P",32.3
1969-08-28,36,"SI",158
1969-10-02,21,"S",30.05
1969-10-02,21,"T",16.7
1969-10-02,21,"P",3.2
1969-10-02,21,"SI",37
1969-10-02,32,"S",28.95
1969-10-02,32,"T",20.45
1969-10-02,32,"P",19.3
1969-10-02,32,"SI",100
1969-10-02,34,"S",28.6
1969-10-02,34,"T",20.05
1969-10-02,34,"P",22.5
1969-10-02,34,"SI",120
1969-10-02,36,"S",27.35
1969-10-02,36,"T",20.85
1969-10-02,36,"P",32.2
1969-10-02,36,"SI",143
1969-12-19,21,"S",27.3
1969-12-19,21,"T",11.2
1969-12-19,21,"P",4.5
1969-12-19,21,"SI",72
1969-12-19,30,"S",27.8
1969-12-19,30,"T",11.3
1969-12-19,30,"P",12.9
1969-12-19,32,"S",25.4
1969-12-19,32,"T",11.4
1969-12-19,32,"P",24.2
1969-12-19,32,"SI",120
1969-12-19,34,"S",24.7
1969-12-19,34,"T",11.5
1969-12-19,34,"P",28.7
1969-12-19,34,"SI",125
1969-12-19,36,"S",24.7
1969-12-19,36,"T",11.5
1969-12-19,36,"P",33.6
1969-12-19,36,"SI",130
1970-01-27,21,"S",5.3
1970-01-27,21,"T",11.2
1970-01-27,21,"P",2.6
1970-01-27,21,"SI",205
1970-01-27,22,"S",5.3
1970-01-27,22,"T",12.2
1970-01-27,24,"S",10.4
1970-01-27,24,"T",12.2
1970-01-27,30,"S",13.5
1970-01-27,30,"T",12.8
1970-01-27,30,"P",5.2
1970-01-27,30,"SI",113
1970-01-27,32,"S",15.5
